HotelName,Address,OriginalRentNight,Discount,AmountPayableNight,Rating,Facility,ReviewRating,RoomQuality,Location
OYO Happy Homely Stay Near Pune Airport,"India, Pune·       7.4 km",5514.0,65,1930.0,4.2, AC  Bedside Table / Desk  TV  + 3 more,135,Very Good,Pune
SPOT ON 812842 Hotel Gaurav Lodge,"haveli, Pune·       9.8 km",3299.0,64,1155.0,4.0, Free Wifi  Geyser  Power backup  + 3 more,0,NEW,Pune
OYO Hotel Galaxy Apartments Near Pune Airport,"Chandannagar, Pune·       9.8 km",3855.0,67,1242.0,3.7, AC  TV ,317,Good,Pune
Super OYO Flagship Savali HomeStay,"Pune District, Pune·       9.6 km",5101.0,65,1785.0,3.9, AC  TV ,83,Good,PunePune
Flagship Gandharva Lodging,"Pune, Pune·       9.4 km",3384.0,67,1090.0,3.6, Reception  Caretaker  Power backup  + 22 more,27,Good,PunePune
Flagship Felicita Inn Near Seasons Mall,"Near Fairfield By Marriott, Thite Nagar, Pune·       8.0 km",3834.0,65,1342.0,3.1, Reception  Free Wifi  Power backup  + 12 more,38,very good,Pune
Collection O Hotel Samruddhi Park Inn Near Pune Airport,"Near Phoenix Mall, Tata Garden, Kendriya Vidyalaya, Maruti Mandir, Khulewadi, Pune·       9.6 km",2842.0,64,995.0,3.1, Parking facility  Reception  Free Wifi  + 13 more,85,very good,Pune
Super OYO Collection O Hotel Pearl Near Shaniwar Wada,"J M Road, Pune·       0.9 km",,47,,4.3, AC  TV  Queen Sized Bed ,1052,Very Good,Pune
OYO Hotel Padma Krishna Near Lal Mahal,"Barne Road, Pune·       0.8 km",,47,,3.6, Power backup  AC  TV  + 28 more,1694,Good,Pune
Flagship River View Near Shaniwar Wada,"Deccan, Pune·       1.4 km",,47,,4.6, AC  TV ,526,Excellent,Pune
Townhouse OAK The Citiotel Near Shaniwar Wada,"Near J M Road, Shivajinagar·       0.8 km",,47,,3.8, Reception  Caretaker  Power backup  + 31 more,736,Good,
Collection O Vardhan Executive,"Pune City, Pune·       8.0 km",,47,,3.7, AC  TV  Shower Head  + 1 more,458,Good,PunePune
OYO Home Yana Heights,"Kondhwa, Pune·       6.5 km",,47,,4.0, Parking facility  Reception  Ticket tour assistance  + 20 more,430,Very Good,Pune
Flagship Cruz House Near Phoenix Marketcity - Viman Nagar,"Kharadi, Pune·       8.6 km",,47,,3.4, Free Wifi  Geyser  Power backup  + 5 more,144,very good,Pune
Flagship Hotel Mv Galaxy,", Pune·       7.5 km",,47,,4.1, Doctor on call  Parking facility  Reception  + 19 more,230,Very Good,Pune
OYO White Castle Heritage Near Pune Airport,"Near E- Space IT Park, Pune nagar road, Pune·       8.3 km",,47,,4.3, Reception  Free Wifi  Power backup  + 8 more,228,Very Good,PunePune
Super OYO Townhouse 749 The Upper Room Near Pune Airport,"Pune District, Pune·       7.5 km",,47,,4.8, Parking facility  Reception  Free Wifi  + 17 more,866,Excellent,PunePune
OYO Home Yana Heights,"Kondhwa, Pune·       6.4 km",,47,,4.1, Parking facility  Private entrance  Free Wifi  + 9 more,852,Very Good,Pune
SPOT ON 90498 Hotel Golden Crown,"Bavdhannull, Pune·       9.5 km",,47,,2.7, Free Wifi  Geyser  Power backup  + 5 more,110,very good,Pune
Townhouse OAK  Red Velvet Suites & Inn Koregoan Park,"Koregaon Park, Pune·       6.7 km",,47,,3.1, Free Wifi  Geyser  Power backup  + 3 more,76,very good,Pune
SPOT ON Meghraj Lodge Near Laxminarayan Theatre,"Katraj, Pune·       5.9 km",,47,,3.2, Doctor on call  Parking facility  Reception  + 16 more,310,very good,Pune
Collection O Golden Tulipz Boutique,"Kurla West, Mumbai·       0.3 km",9617.0,67,3097.0,3.7, Reception  Free Wifi  Refrigerator  + 14 more,832,Good,Mumbai
Capital O 80951 Hotel Vertigo Suite,"India, Mumbai·       0.5 km",7865.0,67,2562.0,2.7, Doctor on call  Reception  Caretaker  + 26 more,104,very good,Mumbai
Super OYO Hotel Divine Residency Near Phoenix Marketcity,"Near Chirag Nagar Police Station, LBS Marg, Mumbai·       2.8 km",10814.0,65,3785.0,5.0, Parking facility  Elevator  Free Wifi  + 8 more,632,Fabulous,Mumbai
OYO Hotel Blue Executive Near Chhatrapati Shivaji International Airport,"On main street, Near Saki Vihar complex, Sakinaka,Mumbai·       3.7 km",8632.0,67,2780.0,4.1, AC  TV  Queen Sized Bed ,1783,Very Good,Mumbai
Super OYO Druv's Taj Palace Near Chhatrapati Shivaji International Airport,"Near Asalpha Metro Station, Dhumai Estate, Mumbai·       2.9 km",7587.0,65,2655.0,3.5, Free Wifi  CCTV cameras  AC  + 8 more,690,Good,Mumbai
OYO Hotel Golden Nest Near Chhatrapati Shivaji International Airport,"Near Bajsons Industries, Andheri East, Mumbai·       4.3 km",7711.0,67,2483.0,3.3, Free Wifi  Geyser  CCTV cameras  + 6 more,884,very good,Mumbai
Super OYO Collection O Collection O Hotel Jayshree Domestic Airport,"Vile Parle East, Mumbai·       3.5 km",8341.0,65,2919.0,3.6, Private entrance  Reception  Free Wifi  + 18 more,562,Good,Mumbai
Super OYO Collection O 84249 Hotel Ulife,"Andheri(e), Mumbai·       5.3 km",6885.0,65,2410.0,3.9, Reception  Free Wifi  Caretaker  + 11 more,1100,Good,Mumbai
OYO Hotel Alfa Grand Near Chhatrapati Shivaji International Airport,"Near Asalpha Metro Station, Andheri East, Mumbai·       2.8 km",7075.0,67,2278.0,3.1, Free Wifi  Geyser  AC  + 7 more,575,very good,Mumbai
OYO Kailash Park Boutique Rooms Near Chhatrapati Shivaji International Airport,"Gate No.2 Andheri East, Mumbai·       3.3 km",6642.0,67,2139.0,3.3, Hair Dryer  Reception  Security  + 13 more,112,very good,Mumbai
Flagship The Mumbai Inn Near Chhatrapati Shivaji International Airport,"The Mumbai Inn 90 Feet Road Next To Peninsula Near Tilak Nagar Gate Sakinaka Mumbai, Mumbai·       2.9 km",6935.0,67,2233.0,3.0, Free Wifi  CCTV cameras  Card payment  + 3 more,458,very good,MumbaiMumbaiMumbai
Capital O Hotel Pearl Near US Embassy,"Near Wajan Kata Bus Stop, Indira Nagar, Mumbai·       2.7 km",8274.0,65,2896.0,3.3, Reception  Free Wifi  CCTV cameras  + 6 more,126,very good,Mumbai
OYO SilverKey Hotel Manas Residency,"Chembur East, Mumbai·       2.8 km",7171.0,65,2510.0,4.2, Reception  Caretaker  Geyser  + 2 more,422,Very Good,Mumbai
OYO Townhouse 810 Royal Palms Hotel - Daisy Collection,"Goregaon, Mumbai·       8.6 km",8079.0,65,2828.0,3.3, Free Wifi  Geyser  Power backup  + 3 more,782,very good,Mumbai
Super OYO Capital O Hotel Zaid International Near L&T Sakinaka & IIT POWAI,"Near Huntsman Building, Marol, Mumbai·       4.5 km",8909.0,65,3118.0,3.9, Parking facility  Free Wifi  Power backup  + 14 more,691,Good,Mumbai
OYO Flagship 812940 Hotel Nk Grand,"Asalpha, Mumbai·       2.9 km",6989.0,67,2251.0,4.0, AC  AC  TV  + 1 more,0,NEW,Mumbai
OYO Royal Inn Near Versova Beach,"Near Jankidevi Public School Road, Varsova, Mumbai·       9.3 km",8737.0,67,2813.0,3.4, Parking facility  Free Wifi  Geyser  + 8 more,450,very good,Mumbai
OYO Anjali Hotel Mumbai,"Near Kanti Nagar, Andheri East, Mumbai·       3.7 km",10124.0,67,3260.0,2.8, Reception  Free Wifi  Geyser  + 8 more,460,very good,Mumbai
OYO Flagship 23259 Hotel Galaxy Inn,"Near Takshila Police Station, Andheri East, Mumbai·       6.3 km",6172.0,65,2160.0,3.5, Parking facility  Reception  Free Wifi  + 20 more,21,Good,Mumbai
OYO Townhouse 809 Royal Palms Hotel - Rose Collection,"Near Aarey Colony, Goregaon, Mumbai·       8.6 km",7279.0,65,2548.0,3.7, Free Wifi  Power backup  Card payment  + 12 more,668,Good,Mumbai
OYO Townhouse 781 Royal Palms Hotel,"On main street, Near Aarey Colony, Goregaon East, Mumbai·       8.6 km",7042.0,65,2465.0,3.4, Private entrance  Parking facility  Reception  + 20 more,616,very good,Mumbai
OYO Hotel Greenforest Near Airport Road Metro Station,"Near Axis Bank, Customs Colony, Mumbai·       5.4 km",6977.0,67,2247.0,3.6, Parking facility  Free Wifi  Card payment  + 12 more,639,Good,Mumbai
Super OYO Malali Residency Near Versova Beach,"Opposite To Mc Donald's, Mumbai·       7.2 km",8848.0,67,2849.0,4.4, Reception  Geyser  Caretaker  + 24 more,144,Very Good,Mumbai
OYO Flagship 812019 Sunrise Suites,"Mumbai- , Mumbai·       5.5 km",13577.0,67,4372.0,4.3, Reception  Free Wifi  Caretaker  + 10 more,28,Very Good,MumbaiMumbai
OYO Delight Inn,"Maharashtra India, Mumbai·       6.2 km",9804.0,67,3157.0,3.3, AC  TV ,391,very good,Mumbai
Collection O Hotel Kiwi International Near Chhatrapati Shivaji International Airport,"Andheri East, Mumbai·       3.9 km",7465.0,65,2613.0,3.5, Elevator  Geyser  Power backup  + 3 more,102,Good,Mumbai
OYO Townhouse 808 Royal Palms Shared Serviced Apartment,"Goregaon East, Mumbai·       8.6 km",8051.0,65,2818.0,3.4, Reception  Power backup  24/7 check-in  + 34 more,416,very good,Mumbai
OYO Townhouse 799 Royal Palms Hotel - Lily Collection,"Near Aarey Colony, Goregaon·       8.6 km",7299.0,65,2555.0,3.3, Parking facility  Free Wifi  Power backup  + 15 more,509,very good,
Townhouse OAK Hotel Shubhangan Near Juhu Beach,"Hotel Shubhangan-21st road,Khar West·       5.4 km",15942.0,67,5134.0,2.9, Reception  Ticket tour assistance  Caretaker  + 30 more,187,very good,
POP 81030D Hotel Crystal Park Jogeshwari Mumbai,"SV ROAD, NEAR JVLR JUNCTION, NEXT TO MARKAZ HOTEL, JOGESHWARI (W). MUMBAI -400012·       7.9 km",7959.0,65,2786.0,3.8, Free Wifi  Geyser  Power backup  + 3 more,47,Good,
Super OYO Hotel Airport Metro Near Chhatrapati Shivaji International Airport,"Andheri East, Mumbai·       4.0 km",,47,,3.5, Hair Dryer  Free Wifi  Garden/Backyard  + 17 more,837,Good,Mumbai
OYO Hotel Blue Sea Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai·       2.9 km",,47,,3.2, Free Wifi  Geyser  CCTV cameras  + 7 more,1942,very good,Mumbai
OYO Hotel Blue Sapphire Residency Near Chhatrapati Shivaji International Airport,"Near The Crescent Business Park, Sakinaka, Mumbai·       2.5 km",,47,,3.9, Reception  Free Wifi  Card payment  + 10 more,1117,Good,Mumbai
OYO Blue Pearl Residency Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai·       2.9 km",,47,,2.7, Free Wifi  Card payment  Microwave  + 13 more,938,very good,Mumbai
OYO Hotel Blue Ocean Near R City Mall,"kailash industrial complex, near kailash business park, vikhroli west, Mumbai·       5.9 km",,47,,4.2, Free Wifi  Geyser  CCTV cameras  + 6 more,403,Very Good,Mumbai
OYO Flagship 81149 Hotel Chembur Residency,"chembur Mumbai, Mumbai·       3.6 km",,47,,3.5, Free Wifi  Geyser  Power backup  + 3 more,35,Good,MumbaiMumbai
OYO Rana Residency Near Western Express Highway Metro Station,"Tolany Naka, Sher-e-Punjab Colony, Mumbai·       6.1 km",,47,,3.3, Parking facility  Electric Kettle  Free Wifi  + 8 more,595,very good,Mumbai
SPOT ON Hotel Grand Skylight Near Chhatrapati Shivaji International Airport,"Sakinaka Metro Station, Mumbai·       3.2 km",,47,,3.9, Reception  Caretaker  Daily housekeeping  + 8 more,114,Good,Mumbai
Super OYO Flagship Hotel Green View,Vihar Lake Saki Vihar Road Near NITIE Collage Powai Mumbai·       7.5 km,,47,,4.3, Elevator  Free Wifi  Geyser  + 4 more,257,Very Good,Mumbai
Flagship Hotel Prince Palace Near Juhu Beach,"Near City Plaza, Santacruz West, Mumbai·       4.1 km",,47,,2.3, Elevator  Free Wifi  Geyser  + 8 more,209,very good,Mumbai
OYO Hotel Blue Inn Residence Near R City Mall,"Kailash Industrial Complex, near Kailash Business Park, Vikhroli West Mumbai·       6.0 km",,47,,3.2, Seating area  AC  TV  + 4 more,775,very good,Mumbai
OYO Hotel Hyderabad Continental,"Near Tarakarama Theatre, Sultan Bazar, Hyderabad·       0.7 km",2257.0,67,727.0,4.2, TV  King Sized Bed  Dress Hanger  + 1 more,1644,Very Good,Hyderabad
SPOT ON Hotel Rk Residency Near MGBS Bus station,"Near Jaam Bagh, Hindustani Lane, Hyderabad·       1.0 km",1954.0,67,629.0,3.1, AC  TV  AC  + 7 more,508,very good,Hyderabad
SPOT ON Classic Lodge,"Near Board Of Intermediate Office, Hyderabad·       1.9 km",2297.0,67,740.0,4.4, Elevator  Free Wifi  Geyser  + 6 more,1615,Very Good,Hyderabad
OYO Flagship 813483 Hotel Shannu Grand,"India - 500079, Hyderabad·       6.4 km",3561.0,83,599.0,4.0, AC  Parking facility  Elevator  + 8 more,0,NEW,Hyderabad
OYO Nav Bharath Residency Near Koti Center,"Near Central Gurudwara Saheb, Gowliguda, Hyderabad·       1.0 km",3298.0,67,1062.0,4.3, Reception  Free Wifi  Power backup  + 9 more,1265,Very Good,Hyderabad
Flagship Malkajgiri,"Malkajgiri, Hyderabad·       8.8 km",3426.0,81,649.0,4.3, Reception  Free Wifi  Power backup  + 17 more,2935,Very Good,Hyderabad
Flagship Thatipally Mansion Near Vishal Mega Mart,"Kothapet , Opp Vishal Mega Mart·       6.8 km",2551.0,65,879.0,4.2, Parking facility  Reception  Free Wifi  + 12 more,2272,Very Good,
"OYO Hotel Harsha Grand Near Yashodha Hospital, Malakpet","Opp: Bajaj Electronics, Beside Yashoda hospital,near New Market Metro station, Malakpet, Hyderabad·       2.1 km",2235.0,74,576.0,2.8, Free Wifi  Power backup  CCTV cameras  + 5 more,52,very good,Hyderabad
"OYO Home Comfortable Stays, Near Aasam gadh Current office","Karan Bagh, Hyderabad·       4.0 km",2099.0,71,591.0,3.8, Reception  Geyser  AC  + 2 more,643,Good,Hyderabad
SPOT ON Al Nizam Guest House Near Charminar,"Nayapul, Hyderabad·       2.1 km",2286.0,77,511.0,3.4, Elevator  Free Wifi  Geyser  + 5 more,28,very good,Hyderabad
Collection O 812337 Mr Residency,"Red Hills, Hyderabad·       3.1 km",2912.0,80,576.0,2.1, Free Wifi  AC  TV  + 1 more,0,very good,Hyderabad
Capital O Hotel Alekhya Residency,"Near Global Hospital, Saifabad, Hyderabad·       3.3 km",3882.0,66,1301.0,4.0, Elevator  Free Wifi  Geyser  + 4 more,594,Very Good,Hyderabad
Capital O Hotel Samrat Palace Near Nampally Station,"Abids, Hyderabad·       1.9 km",2028.0,69,627.0,3.0, Reception  Free Wifi  Caretaker  + 10 more,192,very good,Hyderabad
OYO Flagship Simra Relax Inn,"Dilsukhnagar, Hyderabad·       4.1 km",2565.0,67,826.0,3.6, Geyser  Power backup  AC  + 2 more,233,Good,Hyderabad
OYO Flagship 11310 Hotel Sri Tulasi Residency Near Birla Mandir,"Near Rama Krishna Theatre, Abids, Hyderabad·       1.1 km",3640.0,69,1106.0,3.3, Parking facility  Free Wifi  AC  + 5 more,0,very good,Hyderabad
Super OYO Townhouse RCC Majestic 397 LB Nagar,"Champapet, Hyderabad·       6.1 km",6337.0,65,2218.0,5.0, Reception  Free Wifi  Power backup  + 10 more,3097,Fabulous,Hyderabad
"OYO Townhouse 710 Hotel Regal Near ISKON TEMPLE , ABIDS","Nampally station road, Adj Lane Metro Foot Wear, Opp. Iskcon Temple, Abids,  Hyderabad, Telangana, 500001·       1.2 km",3043.0,77,700.0,3.0, Parking facility  Private entrance  Reception  + 14 more,545,very good,Hyderabad
Super OYO Hotel Aroma Classic Near Nampally Railway station,"Ghosha Mahal, Hyderabad·       2.1 km",2988.0,65,1045.0,4.1, Parking facility  Elevator  Free Wifi  + 9 more,667,Very Good,Hyderabad
OYO Raja Residency Near Snow World,"Near Raja Deluxe Complex, Musheerabad, Hyderabad·       3.7 km",3619.0,64,1267.0,4.2, Parking facility  Reception  Free Wifi  + 14 more,3678,Very Good,Hyderabad
Flagship Royal Galaxy Lodge Near Charminar,", Hyderabad·       1.7 km",2551.0,72,699.0,2.9, Reception  Free Wifi  Caretaker  + 13 more,43,very good,Hyderabad
Super OYO Townhouse White Ridge 112 Shivam Road,"New Nallakunta, Hyderabad·       2.7 km",6465.0,65,2263.0,4.2, Reception  24x7 Facility Manager  Free Wifi  + 15 more,1979,Very Good,Hyderabad
Super OYO Townhouse 269 RCC Sunrise,"Near Begumpet lifestyle, Kundanbagh Colony, Hyderabad·       6.1 km",8185.0,65,2865.0,5.0, Geyser  Power backup  AC  + 2 more,1488,Fabulous,Hyderabad
Super OYO Townhouse OAK Hotel N7 Elite,"Champapet, Hyderabad·       6.3 km",4214.0,65,1475.0,4.2, Private entrance  Parking facility  Reception  + 15 more,448,Very Good,Hyderabad
Capital O Marjan International Near Assembly,"Near ICICI Bank ATM, Chapel Rd, Hyderabad·       2.0 km",2969.0,66,984.0,3.5, AC  TV ,190,Good,Hyderabad
OYO Hotel Srujana Stay Inn Opp Public Gardens Nampally,"Nampally, Hyderabad·       2.0 km",2811.0,64,984.0,4.1, Parking facility  Reception  Free Wifi  + 14 more,11,Very Good,Hyderabad
SPOT ON 811079 Apsara Hotel,"#5-4-467 opp Revenue board  Nampally Station Road, Hyderabad·       1.6 km",2559.0,67,824.0,3.0, Elevator  Free Wifi  Geyser  + 3 more,31,very good,Hyderabad
Flagship Asian Metro  International Near Birla Mandir,"khan lateef khan buidling oppsite to LB stadium  , Hyderabad·       2.3 km",2445.0,69,744.0,3.8, Parking facility  Free Wifi  Power backup  + 13 more,94,Good,Hyderabad
OYO Flagship Raga Stays Mee Seva Road,"Chaitanyapuri, Hyderabad·       4.9 km",2537.0,65,888.0,3.1, AC  TV ,1280,very good,Hyderabad
Capital O The City Park Near Nampally Railway station,"Near The City Park, Chirag AlicLane, Hyderabad·       1.5 km",3102.0,64,1086.0,4.0, Reception  Free Wifi  Power backup  + 13 more,2829,Very Good,Hyderabad
Super OYO Collection O Hotel Lotus Grand Near Secunderabad Railway Station,"Secunderabad, Hyderabad·       5.8 km",5214.0,65,1825.0,3.8, Parking facility  Reception  Free Wifi  + 17 more,1883,Good,Hyderabad
Collection O Hotel Happy Stay Near Hyderabad Central,"Near ICICI Bank, Begumpet, Hyderabad·       6.9 km",3734.0,65,1307.0,3.7, Reception  Free Wifi  Power backup  + 12 more,1021,Good,Hyderabad
OYO Flagship Sri Residency Near Hyderabad Central,"Ameerpet, Hyderabad·       7.3 km",3592.0,66,1199.0,4.3, Reception  Free Wifi  AC  + 11 more,2588,Very Good,Hyderabad
Super OYO Townhouse 196 De Alphabet,"Near Sai Baba Temple, Gudimalkapur, Hyderabad·       4.9 km",6051.0,65,2118.0,4.5, Private entrance  Parking facility  Reception  + 15 more,591,Excellent,Hyderabad
OYO Royal Stay Near Mantra Mall ,"Ranga Reddy, Hyderabad·       8.3 km",2514.0,65,880.0,4.8, Reception  Power backup  Security  + 23 more,1501,Excellent,Hyderabad
Super OYO Collection O 15141 Townvilla Guest House,"Hyderabad, Hyderabad·       7.0 km",5177.0,65,1812.0,4.5, AC  TV ,2609,Excellent,HyderabadHyderabad
Super OYO Townhouse 600 Gangothri,Near RP Road BUS STOP·       5.7 km,6669.0,65,2334.0,4.4, 24x7 Facility Manager  Free Wifi  Geyser  + 7 more,1714,Very Good,
Super OYO Flagship Alpine glow Zenith,"Near Malani Colony, Bowenpally, Hyderabad·       8.0 km",3311.0,67,1066.0,4.1, Geyser  Power backup  AC  + 2 more,1051,Very Good,Hyderabad
OYO Hotel Shannu Residency,"Near Apollo Pharmacy, Secunderabad, Hyderabad·       8.9 km",2286.0,72,625.0,4.0, Free Wifi  Geyser  TV ,195,Very Good,Hyderabad
Flagship Sai Mansion,"Maruthi Nagar, Hyderabad·       9.0 km",3045.0,67,981.0,4.6, Parking facility  Reception  Free Wifi  + 9 more,3997,Excellent,Hyderabad
Super OYO Capital O 11079 Hotel Prestige,"Paradise ,Secunderabad·       6.3 km",5557.0,65,1945.0,3.4, Parking facility  Reception  Free Wifi  + 15 more,728,very good,
SPOT ON Mohit Gokul Lodge New Room's Near Snow World,"Near To Secunderbad East Metro Rail Station, Hyderabad·       5.9 km",2168.0,67,698.0,4.0, Elevator  Free Wifi  Geyser  + 4 more,0,NEW,Hyderabad
OYO Flagship 813303 Hotel Classic Inn,"Punjagutta, Hyderabad·       5.8 km",3659.0,64,1281.0,3.4, Private entrance  Hair Dryer  Reception  + 17 more,309,very good,Hyderabad
Flagship Hotel Ashoka Classic Near Gokul Chat,"Gujarati Gali, Hyderabad·       0.4 km",3317.0,65,1161.0,3.9, Parking facility  Reception  Free Wifi  + 15 more,407,Good,Hyderabad
Capital O Sri Suprabhat Grand Near Kachiguda Railway Station,"Nera Venkataramana Theater, Hyderabad·       0.8 km",4864.0,65,1702.0,2.8, Geyser  Power backup  AC  + 2 more,1598,very good,Hyderabad
OYO SilverKey Himayat Nagar Circle Near Snow World,"Narayanguda, Hyderabad·       1.3 km",4105.0,64,1437.0,4.6, Elevator  Geyser  Power backup  + 3 more,2527,Excellent,Hyderabad
OYO Townhouse 359 Begumpet Near Hyderabad Central,"Vinn Hospital, Begumpet, Hyderabad·       6.7 km",6739.0,67,2170.0,3.6, Parking facility  Elevator  Free Wifi  + 9 more,149,Good,Hyderabad
